,Previous Day,Next day
0,624.8,619.2
1,619.2,679.3
2,679.3,759.2
3,759.2,772.9
4,772.9,796.0
5,796.0,754.1
6,754.1,733.1
7,733.1,717.7
8,717.7,739.5
9,739.5,732.1
10,732.1,662.8
11,662.8,640.6
12,640.6,621.4
13,621.4,649.9
14,649.9,719.2
15,719.2,737.4
16,737.4,739.9
17,739.9,710.2
18,710.2,749.4
19,749.4,754.0
20,754.0,729.0
21,729.0,740.5
22,740.5,682.7
23,682.7,638.9
24,638.9,596.4
25,596.4,611.8
26,611.8,692.1
27,692.1,752.3
28,752.3,761.4
29,761.4,772.7
30,772.7,748.8
31,748.8,690.2
32,690.2,689.9
33,689.9,741.2
34,741.2,656.0
35,656.0,612.5
36,612.5,622.9
37,622.9,604.0
38,604.0,643.5
39,643.5,725.4
40,725.4,779.3
41,779.3,686.7
42,686.7,660.7
43,660.7,662.8
44,662.8,676.5
45,676.5,714.6
46,714.6,623.7
47,623.7,604.4
48,604.4,576.7
49,576.7,588.3
50,588.3,649.2
51,649.2,723.3
52,723.3,772.4
53,772.4,750.9
54,750.9,709.0
55,709.0,693.8
56,693.8,693.2
57,693.2,716.8
58,716.8,644.5
59,644.5,598.9
60,598.9,622.4
61,622.4,693.8
62,693.8,728.3
63,728.3,721.5
64,721.5,747.2
65,747.2,699.5
66,699.5,639.6
67,639.6,642.4
68,642.4,681.7
69,681.7,717.6
70,717.6,648.4
71,648.4,597.3
72,597.3,546.7
73,546.7,550.7
74,550.7,633.4
75,633.4,691.5
76,691.5,719.9
77,719.9,702.1
78,702.1,699.3
79,699.3,685.9
80,685.9,661.2
81,661.2,641.4
82,641.4,590.0
83,590.0,583.6
84,583.6,582.6
85,582.6,591.6
86,591.6,627.3
87,627.3,653.0
88,653.0,704.7
89,704.7,689.9
90,689.9,670.4
91,670.4,651.2
92,651.2,637.9
93,637.9,654.3
94,654.3,593.5
95,593.5,567.2
96,567.2,557.0
97,557.0,563.8
98,563.8,636.7
99,636.7,700.1
100,700.1,705.5
101,705.5,679.1
102,679.1,678.8
103,678.8,615.8
104,615.8,620.8
105,620.8,632.5
106,632.5,576.0
107,576.0,544.0
108,544.0,513.7
109,513.7,525.9
110,525.9,610.8
111,610.8,666.1
112,666.1,669.0
113,669.0,658.6
114,658.6,653.5
115,653.5,605.3
116,605.3,604.2
117,604.2,638.6
118,638.6,583.0
119,583.0,519.0
120,519.0,486.5
121,486.5,513.9
122,513.9,590.7
123,590.7,622.4
124,622.4,625.4
125,625.4,630.1
126,630.1,632.2
127,632.2,616.1
128,616.1,625.7
129,625.7,645.0
130,645.0,593.2
131,593.2,545.0
132,545.0,544.5
133,544.5,554.2
134,554.2,618.8
135,618.8,667.0
136,667.0,666.6
137,666.6,582.3
138,582.3,580.5
139,580.5,587.1
140,587.1,597.6
141,597.6,582.9
142,582.9,514.9
143,514.9,502.8
144,502.8,507.0
145,507.0,468.6
146,468.6,517.6
147,517.6,555.9
148,555.9,604.2
149,604.2,593.5
150,593.5,536.6
151,536.6,535.8
152,535.8,538.8
153,538.8,534.2
154,534.2,506.6
155,506.6,473.7
156,473.7,435.4
157,435.4,451.3
158,451.3,518.8
159,518.8,551.5
160,551.5,576.7
161,576.7,532.4
162,532.4,511.4
163,511.4,537.0
164,537.0,542.4
165,542.4,510.3
166,510.3,459.7
167,459.7,459.5
168,459.5,484.3
169,484.3,518.4
170,518.4,554.2
171,554.2,547.4
172,547.4,754.2
173,754.2,767.1
